huā,flower; blossom
to take in; income; revenue; CL:筆|笔[bi3],個|个[ge4],shōurù
to ride (in a vehicle),chéngzuò
to establish; to set up; to found,jiànlì
immediately,lìjí
to establish; to set up; to be tenable; to hold water,chénglì
to move towards; to head for,zǒuxiàng
========================================
========================================
========================================
长期,chángqī
多长,duōcháng
写下来,xiěxiàlái
文字,wénzì
名字,míngzì
它们,tāmen
最后,zuìhòu
最近,zuìjìn
连忙,liánmáng
帮忙,bāngmáng
急忙,jímáng
上海,shànghǎi
身上,shēnshang
晚上,wǎnshang
上午,shàngwǔ
中国,zhōngguó
其中,qízhōng
下面,xiàmian
一下,yīxià
左边,zuǒbiān
左面,zuǒmiàn
右边,yòubiān
右面,yòumiàn
左右,zuǒyòu
起来,qǐlái
下来,xiàlái
来到,láidào
去年,qùnián
下去,xiàqù
过去,guòqù
失去,shīqù
出现,chūxiàn
发出,fāchū
进入,jìnrù
收入,shōurù
乘坐,chéngzuò
建立,jiànlì
立即,lìjí
成立,chénglì
走向,zǒuxiàng



gǎn,to overtake; to catch up with; o hurry; to rush; to try to catch (the bus etc)
péixùnbān,training class
zhìzào,to manufacture; to make
qiānbǐ,(lead) pencil; CL:支[zhi1],枝[zhi1],桿|杆[gan3]
huárén,ethnic Chinese person or people
========================================
to overtake; to catch up with; o hurry; to rush; to try to catch (the bus etc),gǎn
training class,péixùnbān
to manufacture; to make,zhìzào
(lead) pencil; CL:支[zhi1],枝[zhi1],桿|杆[gan3],qiānbǐ
ethnic Chinese person or people,huárén
========================================
========================================
========================================
赶,gǎn
培训班,péixùnbān
制造,zhìzào
铅笔,qiānbǐ
华人,huárén








shàng,on top; upon; above; upper; previous; first (of multiple parts); to climb; to get onto; to go up; to attend (class or university)
zhōng,middle;centre;to hit (the mark); to be hit by; to suffer; to win (a prize, a lottery)
xià,down; downwards; below; lower; later; next (week etc); second (of two parts); to decline; to go down; to arrive at (a decision, conclusion etc); measure word to show the frequency of an action
zuǒ,left; the Left (politics); east; unorthodox; queer; wrong; differing; opposite
yòu,right (-hand); the Right (politics); west (old)
lái,to come; to arrive; to come round; ever since; next
qù,to go; to go to (a place); (of a time etc) last; just passed; to send; to remove; to get rid of; to reduce; to be apart from in space or time; to die (euphemism); to play (a part); (when used either before or after a verb) to go in order to do sth; (after a verb of motion indicates movement away from the speaker); (used after certain verbs to indicate detachment or separation)
chū,out;get out
rù,to enter; to go into; to join; to become a member of; to confirm or agree with
zuò,to sit; to take a seat; to take (a bus, airplane etc); to bear fruit
lì,to stand; to set up; to establish; to lay down; to draw up; at once; immediately
zǒu,to walk; to go; to run; to move (of vehicle); to visit; to leave; to go away; to die (euph.); from; through; away (in compound verbs, such as 撤走[che4 zou3]); to change (shape, form, meaning)
shānshàng,on the mountain
shānxià,down the mountain
shàngtou,above; on top of; on the surface of
xiàtou,donw;beneath
shǒuzhōng,in the hand
kǒuzhōng,in the mouth
zuǒshǒu,left hand; left-hand side
yòushǒu,right hand; right-hand side
zuǒěr,left ear
yòuěr,right ear
shàngxià,up and down; top and bottom; old and new; length; about
shàngshàngxiàxià,up and down;everywhere
yīshàngyīxià,up-down
yīzuǒyīyòu,one left and one right
zuòxià,to sit down
zǒulái,come (towards speaker)
zǒuqù,to walk over (to)
zǒuchūqù,walk out
cháng,long
xiě,to write
zì,letter; symbol; character; word; courtesy or style name traditionally given to males aged 20 in dynastic China
tā,it
zuì,most; the most; -est (superlative suffix)
máng,busy; hurriedly; to hurry; to rush
zuǐba,mouth; CL:張|张[zhang1]; slap in the face
shēnzi,body; pregnancy; health
xiězì,to write characters
========================================
on top; upon; above; upper; previous; first (of multiple parts); to climb; to get onto; to go up; to attend (class or university),shàng
middle;centre;to hit (the mark); to be hit by; to suffer; to win (a prize, a lottery),zhōng
down; downwards; below; lower; later; next (week etc); second (of two parts); to decline; to go down; to arrive at (a decision, conclusion etc); measure word to show the frequency of an action,xià
left; the Left (politics); east; unorthodox; queer; wrong; differing; opposite,zuǒ
right (-hand); the Right (politics); west (old),yòu
to come; to arrive; to come round; ever since; next,lái
to go; to go to (a place); (of a time etc) last; just passed; to send; to remove; to get rid of; to reduce; to be apart from in space or time; to die (euphemism); to play (a part); (when used either before or after a verb) to go in order to do sth; (after a verb of motion indicates movement away from the speaker); (used after certain verbs to indicate detachment or separation),qù
out;get out,chū
to enter; to go into; to join; to become a member of; to confirm or agree with,rù
to sit; to take a seat; to take (a bus, airplane etc); to bear fruit,zuò
to stand; to set up; to establish; to lay down; to draw up; at once; immediately,lì
to walk; to go; to run; to move (of vehicle); to visit; to leave; to go away; to die (euph.); from; through; away (in compound verbs, such as 撤走[che4 zou3]); to change (shape, form, meaning),zǒu
on the mountain,shānshàng
down the mountain,shānxià
above; on top of; on the surface of,shàngtou
donw;beneath,xiàtou
in the hand,shǒuzhōng
in the mouth,kǒuzhōng
left hand; left-hand side,zuǒshǒu
right hand; right-hand side,yòushǒu
left ear,zuǒěr
right ear,yòuěr
up and down; top and bottom; old and new; length; about,shàngxià
up and down;everywhere,shàngshàngxiàxià
up-down,yīshàngyīxià
one left and one right,yīzuǒyīyòu
to sit down,zuòxià
come (towards speaker),zǒulái
to walk over (to),zǒuqù
walk out,zǒuchūqù
long,cháng
to write,xiě
letter; symbol; character; word; courtesy or style name traditionally given to males aged 20 in dynastic China,zì
it,tā
most; the most; -est (superlative suffix),zuì
busy; hurriedly; to hurry; to rush,máng
mouth; CL:張|张[zhang1]; slap in the face,zuǐba
body; pregnancy; health,shēnzi
to write characters,xiězì
========================================
========================================
========================================
上,shàng
中,zhōng
下,xià
左,zuǒ
右,yòu
来,lái
去,qù
出,chū
入,rù
坐,zuò
立,lì
走,zǒu
山上,shānshàng
山下,shānxià
上头,shàngtou
下头,xiàtou
手中,shǒuzhōng
口中,kǒuzhōng
左手,zuǒshǒu
右手,yòushǒu
左耳,zuǒěr
右耳,yòuěr
上下,shàngxià
上上下下,shàngshàngxiàxià
一上一下,yīshàngyīxià
一左一右,yīzuǒyīyòu
坐下,zuòxià
走来,zǒulái
走去,zǒuqù
走出去,zǒuchūqù
长,cháng
写,xiě
字,zì
它,tā
最,zuì
忙,máng
嘴巴,zuǐba
身子,shēnzi
写字,xiězì























上,中,下,左,右,来,去,出,入,坐,立,走
















rì,sun
yuè,moon
shān,mountain
shí,rock
tǔ,earth
tián,field
shuǐ,water
huǒ,fire
mù,tree
hé,cereal
rìyuè,the sun and moon
yīyuè,January
èryuè,February
shíèryuèèrshísìrì,24th Dec
shíshān,rocky mountain
dàshān,big mountain
tǔshān,mud mountain
huǒshān,volcano
shānshuǐ,landscape;nature scene
shuǐtián,paddy field
shítou,stone
xiǎoshítou,little stone
mùtou,slow-witted
duōchángshíjiān,how long;how much time
bàngèxiǎoshí,half an hour
fùjìn,nearby
chángcháng,often
zhèlǐ,here
rìzǐ,day
tǔdì,earth and land
huǒchē,train
========================================
sun,rì
moon,yuè
mountain,shān
rock,shí
earth,tǔ
field,tián
water,shuǐ
fire,huǒ
tree,mù
cereal,hé
the sun and moon,rìyuè
January,yīyuè
February,èryuè
24th Dec,shíèryuèèrshísìrì
rocky mountain,shíshān
big mountain,dàshān
mud mountain,tǔshān
volcano,huǒshān
landscape;nature scene,shānshuǐ
paddy field,shuǐtián
stone,shítou
little stone,xiǎoshítou
slow-witted,mùtou
how long;how much time,duōchángshíjiān
half an hour,bàngèxiǎoshí
nearby,fùjìn
often,chángcháng
here,zhèlǐ
day,rìzǐ
earth and land,tǔdì
train,huǒchē
========================================
========================================
========================================
日,rì
月,yuè
山,shān
石,shí
土,tǔ
田,tián
水,shuǐ
火,huǒ
木,mù
禾,hé
日月,rìyuè
一月,yīyuè
二月,èryuè
十二月二十四日,shíèryuèèrshísìrì
石山,shíshān
大山,dàshān
土山,tǔshān
火山,huǒshān
山水,shānshuǐ
水田,shuǐtián
石头,shítou
小石头,xiǎoshítou
木头,mùtou
多长时间,duōchángshíjiān
半个小时,bàngèxiǎoshí
附近,fùjìn
常常,chángcháng
这里,zhèlǐ
日子,rìzǐ
土地,tǔdì
火车,huǒchē
































































wǒ,I
yǒu,to have
zuǒ,left
lái,to come
yòu,right (-hand)
gè,measure word
zhǐ,finger
rén,man
tóu,head;suffix for nouns
mù,eye
kǒu,mouth
ěr,ear
shǒu,hand
zú,foot
dà,big
xiǎo,small
duō,many
shǎo,few
yīrén,one person;alone
wǔkǒurén,five family members
rénrén,everyone
réntóu,human head
xiǎoshǒu,small hand
dàrén,adult
dàxiǎo,size
duōshǎo,how much
rénduō,many people
rénshǎo,few people
shǒuzhǐ,finger
jǐgè,a few
bùnéng,cannot
tàilěngle,too cold
kěyǐ,can
chūnjié,Spring Festival (Chinese New Year)
yánsè,color
cānguǎn,restaurant
zhèlǐ,here
fùjìn,nearby
chángcháng,often
yīngwén,English (language)
qìchē,car
shùzì,numeral
zhǐ,classifier for birds and certain animals, one of a pair, some utensils, vessels etc
shuāng,double
yǎnjing,eye
zuǐba,mouth
ěrduo,ear
jiǎo,foot
rénshǒu,manpower
gèrén,individual
dàjiā,everyone
dàxué,university
xiǎoshí,hour
xiǎohái,child
xǔduō,many
jiǎnshǎo,to lessen
xiǎoxué,elementary school
bízi,nose
liǎn,face
shǒuzhǐtóu,fingertip
========================================

我,I
有,to have
左,left
来,to come
右,right (-hand)
个,measure word
指,finger
人,man
头,head;suffix for nouns
目,eye
口,mouth
耳,ear
手,hand
足,foot
大,big
小,small
多,many
少,few
一人,one person;alone
五口人,five family members
人人,everyone
人头,human head
小手,small hand
大人,adult
大小,size
多少,how much
人多,many people
人少,few people
手指,finger
几个,a few
不能,cannot
太冷了,too cold
可以,can
春节,Spring Festival (Chinese New Year)
颜色,color
餐馆,restaurant
这里,here
附近,nearby
常常,often
英文,English (language)
汽车,car
数字,numeral
只,classifier for birds and certain animals, one of a pair, some utensils, vessels etc
双,double
眼睛,eye
嘴巴,mouth
耳朵,ear
脚,foot
人手,manpower
个人,individual
大家,everyone
大学,university
小时,hour
小孩,child
许多,many
减少,to lessen
小学,elementary school
鼻子,nose
脸,face
手指头,fingertip




I,我
to have,有
left,左
to come,来
right (-hand),右
measure word,个
finger,指
man,人
head;suffix for nouns,头
eye,目
mouth,口
ear,耳
hand,手
foot,足
big,大
small,小
many,多
few,少
one person;alone,一人
five family members,五口人
everyone,人人
person,人头
small hand,小手
adult,大人
size,大小
how much,多少
many people,人多
few people,人少
finger,手指
a few,几个
cannot,不能
too cold,太冷了
can,可以
Spring Festival (Chinese New Year),春节
color,颜色
restaurant,餐馆
here,这里
nearby,附近
often,常常
English (language),英文
car,汽车
numeral,数字
classifier for birds and certain animals, one of a pair, some utensils, vessels etc,只
double,双
eye,眼睛
mouth,嘴巴
ear,耳朵
foot,脚
manpower,人手
individual,个人
everyone,大家
university,大学
hour,小时
child,小孩
many,许多
to lessen,减少
elementary school,小学
nose,鼻子
face,脸
fingertip,手指头




我,wǒ
有,yǒu
左,zuǒ
来,lái
右,yòu
个,gè
指,zhǐ
人,rén
头,tóu
目,mù
口,kǒu
耳,ěr
手,shǒu
足,zú
大,dà
小,xiǎo
多,duō
少,shǎo
一人,yīrén
五口人,wǔkǒurén
人人,rénrén
人头,réntóu
小手,xiǎoshǒu
大人,dàrén
大小,dàxiǎo
多少,duōshǎo
人多,rénduō
人少,rénshǎo
手指,shǒuzhǐ
几个,jǐgè
不能,bùnéng
太冷了,tàilěngle
可以,kěyǐ
春节,chūnjié
颜色,yánsè
餐馆,cānguǎn
这里,zhèlǐ
附近,fùjìn
常常,chángcháng
英文,yīngwén
汽车,qìchē
数字,shùzì
只,zhǐ
双,shuāng
眼睛,yǎnjing
嘴巴,zuǐba
耳朵,ěrduo
脚,jiǎo
人手,rénshǒu
个人,gèrén
大家,dàjiā
大学,dàxué
小时,xiǎoshí
小孩,xiǎohái
许多,xǔduō
减少,jiǎnshǎo
小学,xiǎoxué
鼻子,bízi
脸,liǎn
手指头,shǒuzhǐtóu




I,wǒ
to have,yǒu
left,zuǒ
to come,lái
right (-hand),yòu
measure word,gè
finger,zhǐ
man,rén
head;suffix for nouns,tóu
eye,mù
mouth,kǒu
ear,ěr
hand,shǒu
foot,zú
big,dà
small,xiǎo
many,duō
few,shǎo
one person;alone,yīrén
five family members,wǔkǒurén
everyone,rénrén
person,réntóu
small hand,xiǎoshǒu
adult,dàrén
size,dàxiǎo
how much,duōshǎo
many people,rénduō
few people,rénshǎo
finger,shǒuzhǐ
a few,jǐgè
cannot,bùnéng
too cold,tàilěngle
can,kěyǐ
Spring Festival (Chinese New Year),chūnjié
color,yánsè
restaurant,cānguǎn
here,zhèlǐ
nearby,fùjìn
often,chángcháng
English (language),yīngwén
car,qìchē
numeral,shùzì
classifier for birds and certain animals, one of a pair, some utensils, vessels etc,zhǐ
double,shuāng
eye,yǎnjing
mouth,zuǐba
ear,ěrduo
foot,jiǎo
manpower,rénshǒu
individual,gèrén
everyone,dàjiā
university,dàxué
hour,xiǎoshí
child,xiǎohái
many,xǔduō
to lessen,jiǎnshǎo
elementary school,xiǎoxué
nose,bízi
face,liǎn
fingertip,shǒuzhǐtóu
